date,Indian food,Thai food,Burmese food,Chinese food,Korean food
Jan 2015,18,32,0,52,5
Feb 2015,15,31,0,52,4
Mar 2015,16,32,0,41,6
Apr 2015,15,33,0,45,5
May 2015,15,35,0,48,5
Jun 2015,13,34,0,48,5
Jul 2015,16,32,0,47,0
Aug 2015,15,33,0,47,5
Sep 2015,14,29,0,42,4
Oct 2015,13,30,0,40,4
Nov 2015,19,30,0,46,4
Dec 2015,16,31,0,58,5
Jan 2016,18,41,0,60,5
Feb 2016,15,38,0,56,4
Mar 2016,16,40,0,55,7
Apr 2016,18,40,0,52,5
May 2016,15,38,0,52,6
Jun 2016,17,33,0,54,6
Jul 2016,17,44,0,60,4
Aug 2016,16,37,0,59,6
Sep 2016,19,40,0,55,5
Oct 2016,19,37,0,60,5
Nov 2016,18,35,0,53,4
Dec 2016,18,41,0,75,5
Jan 2017,17,39,0,64,5
Feb 2017,18,42,0,54,6
Mar 2017,19,41,0,55,6
Apr 2017,19,40,0,54,5
May 2017,19,42,0,54,6
Jun 2017,21,42,0,53,5
Jul 2017,24,47,0,61,7
Aug 2017,21,44,0,59,7
Sep 2017,19,44,0,56,5
Oct 2017,20,39,0,51,5
Nov 2017,21,43,0,52,5
Dec 2017,24,44,0,71,6
Jan 2018,22,49,0,56,6
Feb 2018,20,48,0,58,7
Mar 2018,21,45,0,64,7
Apr 2018,22,47,0,59,7
May 2018,20,44,0,55,6
Jun 2018,21,49,0,66,7
Jul 2018,21,47,0,62,8
Aug 2018,20,45,0,54,6
Sep 2018,21,46,0,57,6
Oct 2018,20,44,0,52,6
Nov 2018,20,44,0,53,7
Dec 2018,27,53,0,74,7
Jan 2019,22,51,0,66,7
Feb 2019,19,50,0,71,8
Mar 2019,23,46,0,70,8
Apr 2019,21,49,0,62,7
May 2019,23,51,0,63,7
Jun 2019,24,50,0,68,7
Jul 2019,21,51,0,64,6
Aug 2019,21,48,0,67,8
Sep 2019,22,50,0,61,8
Oct 2019,23,48,0,62,7
Nov 2019,23,49,0,62,7
Dec 2019,25,54,0,84,8
Jan 2020,25,48,0,69,8
Feb 2020,23,49,0,59,7
Mar 2020,16,37,0,46,4
Apr 2020,16,40,0,60,6
May 2020,19,49,0,66,5
Jun 2020,19,54,0,68,6
Jul 2020,20,56,0,67,7
Aug 2020,19,54,0,72,7
Sep 2020,19,53,0,65,8
Oct 2020,19,48,0,68,7
Nov 2020,19,47,0,70,7
Dec 2020,22,54,0,91,6
Jan 2021,23,51,0,80,8
Feb 2021,24,50,0,80,8
Mar 2021,21,55,0,76,9
Apr 2021,23,55,0,71,10
May 2021,27,55,0,85,11
Jun 2021,25,59,0,78,10
Jul 2021,29,63,0,84,12
Aug 2021,26,65,0,77,11
Sep 2021,27,57,0,79,9
Oct 2021,26,58,0,80,14
Nov 2021,29,54,0,74,9
Dec 2021,28,69,0,100,10
Jan 2022,24,59,0,75,12
Feb 2022,25,56,0,74,12
Mar 2022,27,54,1,67,12
Apr 2022,23,49,1,63,11
May 2022,24,47,0,67,11
Jun 2022,28,54,0,64,10
Jul 2022,27,53,0,68,12
Aug 2022,27,49,0,64,11
Sep 2022,31,47,0,60,11
Oct 2022,29,48,0,60,11
Nov 2022,27,45,2,59,11
Dec 2022,28,50,0,78,9
Jan 2023,23,51,0,66,11
Feb 2023,25,50,0,61,11
Mar 2023,28,46,0,59,13
Apr 2023,27,44,0,61,13
May 2023,27,49,0,61,12
Jun 2023,22,44,0,57,11
Jul 2023,24,49,0,58,11
Aug 2023,21,47,0,49,11
Sep 2023,22,44,0,52,10
Oct 2023,22,43,0,49,11
Nov 2023,25,43,0,50,10
Dec 2023,26,46,1,72,12
Jan 2024,23,43,0,52,12
Feb 2024,23,43,0,55,11
Mar 2024,23,41,0,44,9
Apr 2024,23,42,0,45,12
May 2024,20,39,0,45,12
Jun 2024,22,39,0,47,11
Jul 2024,23,39,0,49,11
Aug 2024,22,40,1,47,12
Sep 2024,19,35,0,46,11
Oct 2024,20,36,0,38,11
Nov 2024,18,34,0,45,11
Dec 2024,22,37,0,59,11
Jan 2025,23,36,0,49,11
